Filename (GDrive),EN name,JP name,EN category,JP category,Keep (Green),Don't Keep (Red),Unsure (Yellow)
ff9 sneak 100.wav,,,,,,+,
From Discord/a_a_a_a_a_a_a_a__laugh.mp3,,,,,,+,
From Discord/a.mp3,,,,,,,
From Discord/AaaaahRabbitDeath.mp3,,,,,,+,
From Discord/aaaagh.mp3,Aaaagh,あ゙あ゙あ゙あ゙あ゙あ゙,Screams,悲鳴,+,,
From Discord/Abayo.mp3,Farewell,ｱﾊﾞﾖ,,,+,,
From Discord/ahhIwanttoeatmeat.mp3,,,,,,+,
From Discord/AlmondAlmond.mp3,,,,,,,
From Discord/AmeliaBoingBoing.mp3,,,,,,+,
From Discord/araara.mp3,Ara ara,あらあら～,,,+,,
From Discord/Arrrgggh_Shinda.mp3,,,,,,+,
From Discord/BaingBaing.mp3,Baing Baing,バーインバーイン,,,+,,
From Discord/Beautiful.mp3,Beautiful,ビューティフル,Watamenglish,わためングリッシュ,+,,
From Discord/BestGirlYAGOO.wav,,,,,,,
From Discord/BIG-NEWS.mp3,,,,,,+,
From Discord/BigFace.wav,,,,,,+,
From Discord/ChatWorriedAboutTheChair.mp3,,,,,,+,
From Discord/Check_it_out.wav,Check it out!,チェケラ！,Watamenglish,わためングリッシュ,+,,
From Discord/chu.wav,,,,,+,,w/o giggle pls
From Discord/ComeOn.mp3,,,,,,,
From Discord/ComeOnCalli.mp3,,,,,,+,
From Discord/Cut.wav,Cut,カット！,Watamenglish,わためンぐリッシュ,+,,
From Discord/cute_sound.wav,Yochi yochi,よちよち,Cute,かわいい,+,,
From Discord/Death_of_Crunchy_Sheep.mp3,,,,,,+,
From Discord/DemonLordWatame.mp3,,,,,,+,
From Discord/Dongadondondon.mp3,Dodongadondondon!,どどんがどんどんどん！,,,,,+
From Discord/DontAbandonMe.mp3,Don't abandon me...！,捨てないでおねがい！,Sad,悲しい,+,,
From Discord/Ed_Sheepran_-_Galway_Goat.wav,,,,,,+,
From Discord/every_day_is_wororg_day.wav,,,,,,,+
From Discord/everyonewakeup.wav,,,,,+,,Cut is early
From Discord/Fuumi-mama_saiko.mp3,,,,,,+,
From Discord/g_g_e_z.mp3,GG EZ(ed),ジージー　イーゼッド,Watamenglish,わためンぐリッシュ,+,,
From Discord/GaHaHa.mp3,GaHaHa！,ガハハハッ,,,+,,
From Discord/gesundheit.mp3,Gesundheit,（？）,,,+,,
From Discord/gg_ez.mp3,GGEZ,グッドゲーム　イージー,Watamenglish,わためンぐリッシュ,+,,
From Discord/Goddamn.mp3,,,,,,+,
From Discord/GoodBoy.mp3,,,,,,+,
From Discord/happy_birthday_wororg.wav,,,,,,+,
From Discord/HappyBirthday.wav,,,,,,,
From Discord/HappyDay.wav,,,,,,,
From Discord/headpat.mp3,Headpaaat,ヘッドパーット,Watamenglish,わためンぐリッシュ,+,+,
From Discord/HelloEveryone.wav,,,,,,,
From Discord/HelpmeHelpme.mp3,Help meee,ヘルプミー,Watamenglish,わためンぐリッシュ,+,,
From Discord/Hey_guys.wav,Hey guys,ヘイガーイズ,Watamenglish,わためンぐリッシュ,+,,
From Discord/HeyWatamateSiri.mp3,,,,,,+,
From Discord/hi_honey.wav,Hi honey,ハイハニー～,Watamenglish,わためンぐリッシュ,+,,
From Discord/I_like_sand.mp3,I like sand,砂が好き（英語）,Memes,ミーム,+,+,
From Discord/I_love_you_daddy.mp3,,,,,,+,
From Discord/IAlsoWantToMeetOverSheep.mp3,,,,,,,
From Discord/iamsheep.mp3,I am sheep!,アイアムシープ！,Watamenglish,わためンぐリッシュ,+,,
From Discord/IDontWannaBeJingiskanAnymore.mp3,Don't want to be jingisukan,ジンギスカンになりたくない,Sad,悲しい,+,,
From Discord/Imhungry.mp3,I'm hungry,アイムハングリー,Watamenglish,わためンぐリッシュ,+,,
From Discord/IofiPantat.mp3,,,,,,+,
From Discord/itaitaitaitaitaitaitai.mp3,,,,,,,
From Discord/kachi.wav,kachi,ｶﾁｯ,,,+,,
From Discord/kamsahamnida_arigatou.mp3,,,,,,,
From Discord/kao.wav,Angry about big face jokes,顔デカくねって（激おこ）,Memes,ミーム,+,,+
From Discord/LastSandBlock.mp3,,,,,,+,
From Discord/lets_go.wav,Let's goo,レッツゴー,Watamenglish,わためンぐリッシュ,+,,
From Discord/LionKing.mp3,,,,,,,
From Discord/longtone.mp3,eeeee??? (long),ええええ？？（長い）,Cute,かわいい,+,+,
From Discord/Mario.wav,Mario,マリオ,,,+,,
From Discord/matamaketanye.wav,,,,,,,
From Discord/meeeeh.wav,Meeeehhhh,メﾞｴﾞｴﾞｴﾞｴﾞ,Cute,かわいい,+,,
From Discord/meshiequalfood.mp3,Meshi = Food,飯＝フード,Watamenglish,わためンぐリッシュ,+,+,
From Discord/milk_for_you_bebi.wav,Milk for you baby,ミルクフォーユーベビー,Watamenglish,わためンぐリッシュ,+,,
From Discord/mini_argh.mp3,,,,,+,,
From Discord/MyNameIsWatameTsunomaki.mp3,My name is Watame Tsunomaki,マイネームイズわため角巻,Watamenglish,わためンぐリッシュ,+,,
From Discord/nadenade.mp3,nade nade,なでなで,Cute,かわいい,+,,
From Discord/nadenadeevrythingsgoingtobeokay.mp3,,,,,,+,
From Discord/NoelWatame_Otototototo.mp3,,,,,,+,
From Discord/Ohmygosh.mp3,Oh my gosh!,オーマイガッシュ！,Watamenglish,わためンぐリッシュ,+,,
From Discord/oiiii.mp3,Oii!,おおぃ！,,,+,,
From Discord/OkayUnderstand.mp3,,,,,+,Messy audio,
From Discord/omaewa.wav,You are already dead,お前はもう死んでいる,Memes,ミーム,+,,
From Discord/oversheep.mp3,,,,,,,
From Discord/PekoLaugh.mp3,Peko laugh,ぺこ笑い,Cute,かわいい,+,,
From Discord/Pikachu.mp3,Pikachu impression,ピカチュウ真似,Cute,かわいい,+,,
From Discord/PrettyKetsu.mp3,WOW Pretty Butt,わお！プリティーケツ,,,+,+,
From Discord/RagnarokLevelUp.wav,,,,,,,
From Discord/RepeatAfterMeTasukete.mp3,Repeat after me: Help me,リピートアフターミー「助けて」,,,+,,
From Discord/ShigureUii.mp3,I'm Shigure Ui,しぐれういでーす,,,+,,
From Discord/Suichanwakyoumokawaii.mp3,,,,,,+,
From Discord/Taylor_Sheep_-_Look_What_Ewe_Made_Me_Do.wav,,,,,,+,
From Discord/TowasamaIsDevil.mp3,”Towasama is devil”,トワ様イズデヴィル,,,+,+,
From Discord/Tsundere_Watame_Calls_You_Baka.mp3,Tsundere(?) Watame insults you,ツンデレ(？)わための罵倒,Cute,かわいい,+,,
From Discord/Uuuuuoowaaaaagghhh_Gyaaaah__Noel_Laugh.mp3,,,,,,+,
From Discord/uwaaaaaa.mp3,Uwaaaaaa,うわああぁ,Screams,悲鳴,+,,
From Discord/VictoryFanfare.mp3,,,,,,+,
From Discord/wao.mp3,Wao,わお。,,,+,,
From Discord/WATA.mp3,,,,,+,,BGM?
From Discord/WataBeam.mp3,Wata Beam,わたビーム,Cute,かわいい,+,,
From Discord/watagasm.wav,,,,,,,
From Discord/watame_ahaan_ahoon.wav,,,,,,+,
From Discord/watame_all_is_well.mp3,,,,,,+,
From Discord/watame_ame_boing_boing_pantsu.mp3,,,,,,+,
From Discord/watame_angry_guage_is_filling_up.wav,,,,,,+,
From Discord/watame_answers_question_about_her_bankai.wav,,,,,,+,
From Discord/watame_armpits__buubs.mp3,,,,,,+,
From Discord/watame_assures_that_she_is_safe_for_children_to_watch.wav,Watame is safe for children,子供が見ても大丈夫です,,,+,,
From Discord/watame_barely_survived_watame.wav,,,,,+,Messy audio,
From Discord/watame_boob_cup_alphabet.wav,,,,,,+,
From Discord/watame_brainwash.mp3,Watame Brainwashing,わため洗脳,,,+,,
From Discord/watame_burning_burning_burning.wav,,,,,,+,
From Discord/watame_charged_watabeam.wav,,,,,,+,
From Discord/watame_chu_kachi.wav,Thank you kiss,感謝のチュ,Cute,かわいい,+,,
From Discord/watame_creeper_uwaaa.mp3,,,,,,,
From Discord/watame_doing_seiso_voice_after_new_viewer_says_her_voice_is_cute.wav,,,,,,+,
From Discord/watame_eating_chat_for_trying_to_end_off_with_otsunomaki_early.wav,,,,,,+,
From Discord/watame_favourite_word.mp3,Watame's Favorite Word,わためぇの好きな言葉,Watamenglish,わためンぐリッシュ,+,,
From Discord/watame_freedom.wav,,,,,,+,
From Discord/watame_frustration_noise.wav,,,,,,+,
From Discord/watame_funeral_music.wav,,,,,,+,
From Discord/Watame_gobrrrrrrrrrrrrrr.wav,,,,,+,,
From Discord/watame_good_night_good_boy_bye_v2.wav,Good night good boy,グナイ～グッボイ～,Watamenglish,わためンぐリッシュ,+,,
From Discord/watame_gya.wav,,,,,,+,
From Discord/watame_happy_sheep_v2.wav,Happy sheep,ハッピーシープ,Watamenglish,わためンぐリッシュ,+,,
From Discord/watame_have_a_break.wav,,,,,,+,
From Discord/watame_i_got_it_with_a_sudden_goddamn.wav,,,,,,+,
From Discord/watame_i_like_wakipai.mp3,,,,,,+,
From Discord/watame_i_love_you_unko.wav,,,,,,+,
From Discord/watame_ikebo_attempt.wav,,,,,,+,
From Discord/watame_im_back.wav,I'm back,ただいまー,,,+,,
From Discord/watame_is_very_very_sleepy_2.wav,,,,,,+,
From Discord/watame_jp_and_oversheep_support_has_become_her_strength.wav,,,,,,+,
From Discord/watame_kachi_goodnight_rythmic.wav,,,,,,+,
From Discord/watame_ki_noise.wav,,,,,,+,
